rank,targets,value (hex),name
1,72.11%,1302,AES_256_GCM_SHA384
2,71.87%,1303,CHACHA20_POLY1305_SHA256
3,72.12%,1301,AES_128_GCM_SHA256
4,58.99%,c02f,ECDHE_RSA_WITH_AES_128_GCM_SHA256
5,58.96%,c030,ECDHE_RSA_WITH_AES_256_GCM_SHA384
6,50.52%,cca9,ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256
7,50.73%,c02b,ECDHE_ECDSA_WITH_AES_128_GCM_SHA256
8,48.51%,c028,ECDHE_RSA_WITH_AES_256_CBC_SHA384
9,49.20%,c027,ECDHE_RSA_WITH_AES_128_CBC_SHA256
10,46.44%,cc14,
11,48.76%,c009,ECDHE_ECDSA_WITH_AES_128_CBC_SHA
12,50.06%,c013,ECDHE_RSA_WITH_AES_128_CBC_SHA
13,50.75%,c02c,ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
14,38.38%,cca8,ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
15,50.44%,c014,ECDHE_RSA_WITH_AES_256_CBC_SHA
16,48.73%,c00a,ECDHE_ECDSA_WITH_AES_256_CBC_SHA
17,47.61%,9c,RSA_WITH_AES_128_GCM_SHA256
18,47.77%,c023,ECDHE_ECDSA_WITH_AES_128_CBC_SHA256
19,47.78%,c024,ECDHE_ECDSA_WITH_AES_256_CBC_SHA384
20,46.18%,2f,RSA_WITH_AES_128_CBC_SHA
21,41.25%,3c,RSA_WITH_AES_128_CBC_SHA256
22,45.14%,9d,RSA_WITH_AES_256_GCM_SHA384
23,45.67%,35,RSA_WITH_AES_256_CBC_SHA
24,14.83%,9f,DHE_RSA_WITH_AES_256_GCM_SHA384
25,40.89%,3d,RSA_WITH_AES_256_CBC_SHA256
26,14.53%,9e,DHE_RSA_WITH_AES_128_GCM_SHA256
27,9.71%,c09d,RSA_WITH_AES_256_CCM
28,14.31%,cc13,
29,10.57%,6b,DHE_RSA_WITH_AES_256_CBC_SHA256
30,8.67%,c077,ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384
31,10.03%,33,DHE_RSA_WITH_AES_128_CBC_SHA
32,10.71%,39,DHE_RSA_WITH_AES_256_CBC_SHA
33,7.56%,c061,ECDHE_RSA_WITH_ARIA_256_GCM_SHA384
34,9.88%,67,DHE_RSA_WITH_AES_128_CBC_SHA256
35,9.82%,c09c,RSA_WITH_AES_128_CCM
36,11.88%,84,RSA_WITH_CAMELLIA_256_CBC_SHA
37,9.67%,c0a1,RSA_WITH_AES_256_CCM_8
38,7.55%,c060,ECDHE_RSA_WITH_ARIA_128_GCM_SHA256
39,4.08%,c012,ECDHE_RSA_WITH_3DES_EDE_CBC_SHA
40,6.07%,88,DHE_RSA_WITH_CAMELLIA_256_CBC_SHA
41,11.86%,41,RSA_WITH_CAMELLIA_128_CBC_SHA
42,8.57%,a,RSA_WITH_3DES_EDE_CBC_SHA
43,8.67%,c076,ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256
44,9.78%,c0a0,RSA_WITH_AES_128_CCM_8
45,4.59%,c0a3,DHE_RSA_WITH_AES_256_CCM_8
46,6.31%,c050,RSA_WITH_ARIA_128_GCM_SHA256
47,4.62%,c09f,DHE_RSA_WITH_AES_256_CCM
48,1.26%,4,RSA_WITH_RC4_128_MD5
49,3.77%,ccaa,DHE_RSA_WITH_CHACHA20_POLY1305_SHA256
50,7.49%,ba,RSA_WITH_CAMELLIA_128_CBC_SHA256
51,7.48%,c0,RSA_WITH_CAMELLIA_256_CBC_SHA256
52,6.31%,c051,RSA_WITH_ARIA_256_GCM_SHA384
53,6.06%,45,DHE_RSA_WITH_CAMELLIA_128_CBC_SHA
54,4.10%,c09e,DHE_RSA_WITH_AES_128_CCM
55,4.06%,c0a2,DHE_RSA_WITH_AES_128_CCM_8
56,0.82%,1305,AES_128_CCM_8_SHA256
57,3.25%,c053,DHE_RSA_WITH_ARIA_256_GCM_SHA384
58,1.86%,16,DHE_RSA_WITH_3DES_EDE_CBC_SHA
59,3.55%,c4,DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256
60,0.55%,1304,AES_128_CCM_SHA256
61,3.25%,c052,DHE_RSA_WITH_ARIA_128_GCM_SHA256
62,0.55%,c0af,ECDHE_ECDSA_WITH_AES_256_CCM_8
63,3.55%,be,DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256
64,1.51%,5,RSA_WITH_RC4_128_SHA
65,1.55%,9a,DHE_RSA_WITH_SEED_CBC_SHA
66,1.88%,96,RSA_WITH_SEED_CBC_SHA
67,0.56%,c0ad,ECDHE_ECDSA_WITH_AES_256_CCM
68,0.84%,c011,ECDHE_RSA_WITH_RC4_128_SHA
69,0.44%,c05c,ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256
70,0.56%,c0ac,ECDHE_ECDSA_WITH_AES_128_CCM
71,0.55%,c0ae,ECDHE_ECDSA_WITH_AES_128_CCM_8
